Player Name,PUUID,match_weighted_average(%),match_result
LL Stylish,zIS0t18pYZWd8LZBMqmYwHiD9e-7PcJYjbMZ8mNi3Ezt42VPq7DssHMjBpaoQ1UZwvkW0_jkCGkutA,46.160999999999994,True
JomSoYo,3r2eNXB1RLVOXcmZF_rZpS3Wj46jgjqOxOEvy4SHNIBxSKaaRpGddMgXVNjUVU2chFCqCAFfaYrA9g,49.367,False
Ambition,21mQtS_fZrB1hIR5Qb-lwQlcIjqZOezAMavSZY0Ikd3o50u_N2v2HiL6nMcfs6jWim1nCNLKD68ARw,48.89833333333333,True
picapica,ntry7ypc2Gk76813F2Zb2uLr2l1cWltqsRw3d5goC4d0eMoIg1HoYwXc-AxK0_2xVwdeKrAwmIPS3Q,50.782999999999994,False
Toothbooth,QUT4xO4ceA1E4LrGFQbQ8WzPW1UMU5qMhZ3Ws5I8sKXgPOaaA67H-gi-Inkv2PZ24yYnxCu6iKTcMQ,39.521,False
Denathor,wFS-xucHkp8WeHBMkP--93Bk_pJ8PXg9dLJhyIQUAu7yIiOH1OgSRAg4uGchukQJCwYbkSf5uyvD7g,58.97099999999999,True
1K Gaming,C90l9AOK9zYTMpnNFjwhVdnaWoNTOUmmvLDh7jFbXVSwnCUAM3JiU5bRB0qjEmkzKbguTV6jlU-XTQ,52.57925,False
syeu,s6ujEqxn3gShZi9Dhg7n7Ex84s1w5iEXrTeL9-gpnJwzdz6UTJWmLi5tME0xLnkxJgDtFruY7wm3SQ,46.259,False
MHR5G,Xjxv3O0NSGArO3uXJEJ-unpfiQTDqpSgyOouuCCpP5Z_AKCsfdLqQu0WWoMd2ApXRjpKYAjW91DzEA,0.0,False
Axwerbit,bv_r6ikb2Urp6O40eUbZC-w5W0osUCljPOdLTmVNproi7RUa6igZpjsXV9iU_E7811Gw7AQZAbhDhA,54.7194,False
抖音TonyTop,B66ehCoM3SpZUB4KL9iCqQ6nVAz-KmhLjHphSfy0R4Eq8iqBoifDZpX_FXjmspdVLw9fUL_blTDgwg,50.141,False
FLY Bradley,KOGZU2Hbnf44zQf4ND0-2-YMs_7Ni_mWUdSMxIYvR1TXpXoNYKmOut--vFqCDQoF4OiYUP0gLYwhwg,61.636399999999995,True
Azalea,5WZ6wQuXaEQ1YzA4rucJ1Z0uXLxVyqPd0CilOciOXZor0Cv2gv9b2AvfGXUPbDInAP4JswmNYxKr9w,65.94200000000001,True
FeetMaxxxing,RXmei7lpzRepvZmt-T0tIqRESMI9KCb2HfXl4PlVrOjYbtQ1jPIpLYUk-XhlC7NkQ7VdqUrEzk_k6g,49.15233333333333,True
agony,sO5qLh6fEWneyej9RpxanJiMqZvkMUuwcH8SJwWdtT3gwud1PDPSa-ERUwdnNd0vdogLjBD5P3R2PQ,54.47025,True
Idare,aYJ-F0rwiqvxXpehkhrIEU0W6NfDuBFH1FkYQYefT03aRJXi64Sl3KNfKAeMisU1Np3E3oT7XMbU_g,48.214,False
Hot Eboy Xerath,-ScTjpFRawa4EgAThNgQcAWsa_rs4EnBo45MnlJ0JSN7JpY0fMS3q0x1pjOQBfakS0O0XpeRxFRCwQ,53.373999999999995,False
ioki,Gnj9qGulDUcjQ-4w1B2QQ7y48z1MvgfNBXEP0-ZT7TkttbyJfeyK4PuDc9otr-GDL54hJkiGWsTyvg,49.27499999999999,True
Kaitayy,CEzVBjjqiHC7moU2NyhkUv8ytYSa7rxVMYqAjsCZCNserkkAzYCoYLAFh2pDQxzwa5iEhpR-GDDuBw,50.236,False
Tiktokterry,azypOrYiC0M3RLwkYPAMxX-nZsClDhryPMgm5kAJN5l8BUFPtgUxbirA2UrDEu2Dp6cIuhgFFN1qBQ,45.44633333333333,True
Mànco1,oOtbOSP8svB3BxPPIzYreLGWM4oSCO7vdlJaQPxImgsqJtD8LVxfNTL-7pM8kvTG7cp6fgLi8WG4OQ,49.589,False
twtv sxt svn,qXoJ5ID9gP6Kbc4kmrBPAmsGh5vBmqVLXY2KJYkXnofSZqjv3t3H9IMSuXqLdHxCjfyq_SdD8bY4fA,40.81733333333333,True
LiL Pow Pow,BkAgKkV3KpnWkHC2U2RY8rV38y5czvXtuyokfnY7bxepmwK8mv9nwtzKavK6NNpZZdgUbFOb7pUhXg,57.480999999999995,True
Expensive,tNuEWoMVldU2zRvYkKqEZMPM_-DeGuiMZEuKuBE9mWR8-_T6-bRDC9XrfIw7GjgiYH-Ik9g7D9dOgw,53.14333333333333,True
Koniko,EWHaC8ZbAWaKHDkNINFiCe-wo8gcjZHhUMqE3HFTwLVixpG6P4Jmw3xkCePvjrIWhBjdzw0MPzD5oA,53.134,False
Fullgod,_qAfbyAFT4ydXaz1h5smXJr9NUxWm9pl20XK0UY4u6udWutV7HcqA1bd7Cz65NNQ4EwTvMGdv8iE1Q,54.23625,True
TellMeHwei,H8aWaBikydAhkp8tlJBhaOxqNStqF7qyJl9LIOybyE2liEjK1rw9vW9siaJySlDpr_t9ExNC4V_1Ew,51.277,False
Yoshiking123,8fY6aghWbqU7LK-UPMUG-uqIbBzbQ3I_CTmdW3--lsNNls3T2sroAh-iDP8E_Z6daRiWPvncaByrOg,45.12833333333333,False
Diesel,s_5RGHajatHkXIA_2UNjbIbTo4AJOoS_3W4T9DQaNV48v1_XXKvdOv3poDIWeDhDkr-vkgukXZBKSQ,57.19275,False
hyattie,nh2n_x2EdKVR0-B0h75fpD0rjqJLuDyzhoiqyNM4lcFhCmtB4JUR7UUaM9qQnjJFj0nWRma1PQDzYw,50.441,True
Shiphtur,abGs8m2Xj72BNAdf_spZz-rVUdKtVtB5YlRIMUd_t1EcL-izExgDiPVte5AcZ390pjugmZe_JZyWjw,56.40025,True
Gabzpiano,uo1f18iA96HbahSKl_ya7pgyBw9i4UgGH8t8wK03zldimo_Bs9p8nftvQAP8hnogsSJczgG_BRFt3g,40.15233333333333,False
aadurrr,WoOrb1oZc6DwT9zDdBl3Y4azofrfZB9FQlMp-OcJ9PYZk_KlgM4kPDiwUFz3hfKQ76YSFx0OTedwWA,53.571,False
The Humph,zJkLHiZfuAbgyobwL-hLrLPwav0-DdO_ZRHdg9XKlD5zeasWKZgPmB8zaX8gRnj3WJF3n4jMGb3zjg,42.952,False
LF Cute Kitten,nWnenN0TJYhsu3xbpn8yx6R1iQ_8D6UBkZ96XH5DBxQq7NxfeQquSUsb5m-PCc1oVIxSvkIN6IP3nw,50.83066666666666,False
断剑斩流年,qLIlfQIBG0CpZlZNhX-6xPxaJ_z4WOSJ38zTLB_29j6tx6KwjVYFXgSIVAQOcp3p4x6cF0Jy_V5plQ,46.76,False
Different jungle,uXQdtamFllCmlZnJcwX7f4APzKlYOHcusa2EVPkGl7KLBLL5kbKhA4edO39yMxRisgycun1QXl_aug,49.05199999999999,False
MeAndOnlyMe,w7_7L-OlCugOir-0F2mXla_iOSmt9GnaOHS0524DP2vW-UumQlC_R3aS2a33KcP-AxmhoYAKR93AkA,58.392666666666656,True
Cat GPT Yuumi,SNRP6Yx3-b4oAB0RKiyywtIaNBGOtq3eU_t5dfiaN9pqC06OnZKk60z8Gw-CgCG0ephMl2VFUWjzPA,52.12766666666666,True
CRONENBERGCRASH,hAP34R9kx6G0Xlr-bjbSutIhbkarWipUN4ce9ROQCgQH1dKyZyO6W59viA4StJuJGnsozlEI0jGbWA,55.504333333333335,False
Pyosik bestSmite,rv18mf8CXDfjVzKp4dbaDUjR2JrV_81vs9tSZlbhdAl9Zfv-7dU4_UBtyXVcUik7DHKHRvwFsq61wg,47.872,False
